id,instrument_id,buy_best_limit_1_volume,buy_best_limit_1_price,buy_best_limit_1_count,buy_best_limit_2_volume,buy_best_limit_2_price,buy_best_limit_2_count,buy_best_limit_3_volume,buy_best_limit_3_price,buy_best_limit_3_count,buy_best_limit_4_volume,buy_best_limit_4_price,buy_best_limit_4_count,buy_best_limit_5_volume,buy_best_limit_5_price,buy_best_limit_5_count,sell_best_limit_1_volume,sell_best_limit_1_price,sell_best_limit_1_count,sell_best_limit_2_volume,sell_best_limit_2_price,sell_best_limit_2_count,sell_best_limit_3_volume,sell_best_limit_3_price,sell_best_limit_3_count,sell_best_limit_4_volume,sell_best_limit_4_price,sell_best_limit_4_count,sell_best_limit_5_volume,sell_best_limit_5_price,sell_best_limit_5_count,real_buy_value,real_buy_volume,real_buy_count,real_sell_value,real_sell_volume,real_sell_count,legal_buy_value,legal_buy_volume,legal_buy_count,legal_sell_value,legal_sell_volume,legal_sell_count,last_price,final_price,last_trade_date,trades_value,trades_volume,trades_count,high_price,low_price,state,nav,open_interest,created_at
"9cdfadc1-3d91-49b2-bf25-1177127ad1da","IRO1NIKI0001",14363,4839,1,400000,4823,1,110326,4822,1,50000,4821,1,111355,4820,3,555902,4840,2,26000,4844,1,26207,4850,3,86000,4858,4,358265,4859,12,0,1106771,20,0,906771,18,0,0,0,0,200000,3,"4839","4721","2025-10-06 05:59:36","5334940480","1116408","53","4844","4711","ALLOW","0","0","2025-10-06 06:00:00.00084"
"bf531c64-6f18-42f4-9485-9ee475a31303","IRT1KHBR0001",208,24150,1,1000,24030,1,23150,24000,2,385000,23920,2,100,23760,1,386280,24840,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,16850,1,0,88850,2,0,73000,1,"24340","24240","2025-10-06 05:48:16","2177620000","89850","7","24340","24000","ALLOW","23901","0","2025-10-06 06:00:00.002131"
"de2571fb-eff6-4399-8fae-78eae50c5d75","IRO1TNOV0001",410000,1443,2,1254612,1442,4,8000,1438,1,20000,1437,1,392425,1436,1,400000,1444,1,428822,1479,3,474579,1480,3,156358,1485,4,161651,1499,4,0,437367,12,0,71707,5,0,7575,1,0,373235,1,"1444","1468","2025-10-06 05:59:52","1200046963","833178","32","1444","1429","ALLOW","0","0","2025-10-06 06:00:00.003427"
"ae5790a4-21f1-4ecd-86d8-c614a36d0973","IRT1DARA0001",1364457,279410,85,1000,279150,1,552,279140,1,5000,279100,1,1800,279020,2,620,287380,1,38,287410,2,200,289160,1,100,289800,1,220,290000,2,0,9200364,1314,0,9394128,1075,0,400202,7,0,206438,4,"279410","275610","2025-10-06 05:59:58","3333040544210","12309924","5682","279410","269550","ALLOW","436328","0","2025-10-06 06:00:00.004742"
"b165236a-094b-41d5-ac71-e746a1bb3463","IRT1AFRN0001",296887776,39488,11,1046671,39487,10,1002963,39486,4,1000000,39485,1,1000000,39484,1,33859284,39489,150,1052778,39490,5,1000000,39491,1,1000000,39492,1,1000000,39493,1,0,12063197,405,0,40123695,774,0,34975641,4,0,6915143,6,"39488","39488","2025-10-06 05:59:58","1953590205969","49678064","1481","39489","39488","ALLOW","39477","0","2025-10-06 06:00:00.006399"
"f5ebd19c-2bc7-4019-b72b-96a5a2a8f536","IRO1ALVN0001",5360,3668,1,5600,3667,1,6070,3666,1,7110,3665,1,7450,3664,1,21648,3669,1,56600,3685,1,411940,3687,3,400000,3688,1,2000,3749,1,0,1443516,19,0,692159,11,0,2903,1,0,754260,2,"3669","3679","2025-10-06 05:59:58","6124326802","1674771","60","3710","3669","ALLOW","0","0","2025-10-06 06:00:00.007786"
"ede03b58-e553-4e78-ac55-bef2a6634652","IRO1PKHA0001",2288333,89750,59,170,88260,1,10000,87320,1,62,87210,1,254,84530,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527237,9,0,23553,13,0,0,0,0,503684,3,"89750","88290","2025-10-06 05:59:11","48172953500","536746","92","89750","89750","ALLOW","0","0","2025-10-06 06:00:00.009097"
"0e2f6007-32ae-46d6-b881-0848cc27c3d1","IRO1TAMN0001",45608869,1465,146,185405,1464,5,345609,1462,9,835000,1461,6,2205771,1460,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464358840,666,0,342117023,857,0,80258183,11,0,202500000,11,"1465","1455","2025-10-06 05:59:59","816444179922","561035487","4344","1465","1401","ALLOW","0","0","2025-10-06 06:00:00.010398"
"6d56b9c0-41a6-42db-825c-5a6d814e09da","IRO1ZMYD0001",139115,1558,1,10000,1555,1,20000,1554,2,127556,1553,2,8000,1552,1,305399,1559,2,565600,1560,4,400000,1561,1,87500,1562,3,166946,1563,5,0,48545604,207,0,49945604,222,0,1600000,1,0,200000,1,"1560","1540","2025-10-06 05:59:59","84876375805","55517766","742","1564","1506","ALLOW","0","0","2025-10-06 06:00:00.011757"
"1ddad10e-ef33-4173-a949-619f7ee198a9","IRO1BFJR0001",35500,13360,2,22736,13340,3,26535,13330,2,52500,13320,2,58704,13310,3,82411,13410,1,514177,13420,9,0,0,0,0,0,0,0,0,0,0,10772814,106,0,16692147,169,0,5919333,5,0,0,0,"13410","13420","2025-10-06 05:59:49","226214308980","16858697","403","13420","13300","ALLOW","0","0","2025-10-06 06:00:00.014334"
"5c7b04e4-db50-44af-8f46-995c593437f4","IRO1KHFZ0001",28906,1442,2,200000,1441,1,2289538,1440,6,56958,1434,1,109580,1433,1,201088,1454,2,55000,1455,2,3500,1456,1,3500,1457,1,3500,1458,1,0,2915385,17,0,3889944,28,0,1022144,1,0,47585,1,"1450","1438","2025-10-06 05:58:36","6791249850","4692529","66","1470","1401","ALLOW","0","0","2025-10-06 06:00:00.01741"
"2659ae05-0dcd-4731-abf2-e4eed6e8edc9","IRO1SHFS0001",305000,1645,3,1563840,1643,7,38202,1642,2,85000,1641,1,94389,1640,4,374330,1660,1,100630,1670,3,10000,1674,1,151706,1675,1,8667,1676,1,0,8448729,56,0,8448729,40,0,0,0,0,0,0,"1660","1651","2025-10-06 05:59:59","15043127715","9141457","187","1691","1636","ALLOW","0","0","2025-10-06 06:00:00.020042"
"133cac93-70e1-4931-9db2-d4e50cada085","IRO1DABO0001",105000,21740,2,120000,21730,3,10000,21710,1,32138,21700,1,500,21600,1,5111,22080,2,91504,22090,2,1140,22100,3,10000,22290,1,150099,22300,5,0,34467,3,0,34757,6,0,10000,1,0,9710,1,"22080","21680","2025-10-06 05:59:56","980688080","49467","13","22100","21980","ALLOW","0","0","2025-10-06 06:00:00.021306"
