instrument_id,buy_best_limit_1_volume,buy_best_limit_1_price,buy_best_limit_2_volume,buy_best_limit_2_price,buy_best_limit_3_volume,buy_best_limit_3_price,buy_best_limit_4_volume,buy_best_limit_4_price,buy_best_limit_5_volume,buy_best_limit_5_price,sell_best_limit_1_volume,sell_best_limit_1_price,sell_best_limit_2_volume,sell_best_limit_2_price,sell_best_limit_3_volume,sell_best_limit_3_price,sell_best_limit_4_volume,sell_best_limit_4_price,sell_best_limit_5_volume,sell_best_limit_5_price,real_buy_value,real_buy_volume,real_buy_count,real_sell_value,real_sell_volume,real_sell_count,legal_buy_value,legal_buy_volume,legal_buy_count,legal_sell_value,legal_sell_volume,legal_sell_count,last_price,final_price,last_trade_date,trades_value,trades_volume,trades_count,high_price,low_price
"IRO1NIKI0001",14363,4839,400000,4823,110326,4822,50000,4821,111355,4820,555902,4840,26000,4844,26207,4850,86000,4858,358265,4859,0,1106771,20,0,906771,18,0,0,0,0,200000,3,"4839","4721","2025-10-06 05:59:36","5334940480","1116408","53","4844","4711"
"IRT1KHBR0001",208,24150,1000,24030,23150,24000,385000,23920,100,23760,386280,24840,0,0,0,0,0,0,0,0,0,1000,1,0,16850,1,0,88850,2,0,73000,1,"24340","24240","2025-10-06 05:48:16","2177620000","89850","7","24340","24000"
"IRO1TNOV0001",410000,1443,1254612,1442,8000,1438,20000,1437,392425,1436,400000,1444,428822,1479,474579,1480,156358,1485,161651,1499,0,437367,12,0,71707,5,0,7575,1,0,373235,1,"1444","1468","2025-10-06 05:59:52","1200046963","833178","32","1444","1429"
"IRT1DARA0001",1364457,279410,1000,279150,552,279140,5000,279100,1800,279020,620,287380,38,287410,200,289160,100,289800,220,290000,0,9200364,1314,0,9394128,1075,0,400202,7,0,206438,4,"279410","275610","2025-10-06 05:59:58","3333040544210","12309924","5682","279410","269550"
"IRT1AFRN0001",296887776,39488,1046671,39487,1002963,39486,1000000,39485,1000000,39484,33859284,39489,1052778,39490,1000000,39491,1000000,39492,1000000,39493,0,12063197,405,0,40123695,774,0,34975641,4,0,6915143,6,"39488","39488","2025-10-06 05:59:58","1953590205969","49678064","1481","39489","39488"
"IRO1ALVN0001",5360,3668,5600,3667,6070,3666,7110,3665,7450,3664,21648,3669,56600,3685,411940,3687,400000,3688,2000,3749,0,1443516,19,0,692159,11,0,2903,1,0,754260,2,"3669","3679","2025-10-06 05:59:58","6124326802","1674771","60","3710","3669"
"IRO1PKHA0001",2288333,89750,170,88260,10000,87320,62,87210,254,84530,0,0,0,0,0,0,0,0,0,0,0,527237,9,0,23553,13,0,0,0,0,503684,3,"89750","88290","2025-10-06 05:59:11","48172953500","536746","92","89750","89750"
"IRO1TAMN0001",45608869,1465,185405,1464,345609,1462,835000,1461,2205771,1460,0,0,0,0,0,0,0,0,0,0,0,464358840,666,0,342117023,857,0,80258183,11,0,202500000,11,"1465","1455","2025-10-06 05:59:59","816444179922","561035487","4344","1465","1401"
"IRO1ZMYD0001",139115,1558,10000,1555,20000,1554,127556,1553,8000,1552,305399,1559,565600,1560,400000,1561,87500,1562,166946,1563,0,48545604,207,0,49945604,222,0,1600000,1,0,200000,1,"1560","1540","2025-10-06 05:59:59","84876375805","55517766","742","1564","1506"
"IRO1BFJR0001",35500,13360,22736,13340,26535,13330,52500,13320,58704,13310,82411,13410,514177,13420,0,0,0,0,0,0,0,10772814,106,0,16692147,169,0,5919333,5,0,0,0,"13410","13420","2025-10-06 05:59:49","226214308980","16858697","403","13420","13300"
